#,Source,Company,Title,Published,URL,LLM Extract,Newsletter Section (index),Status,Notes
1,BSE,Aavas Financiers,"Annual Secretarial Compliance Report for the Financial Year ended March 31, 2026",2026-05-19,https://www.bseindia.com/xml-data/corpfiling/AttachLive/60ddae8d-3aed-4fa6-9700-32bd5540f87c.pdf,,Competitor Intelligence — Risk & Governance,Kept,
2,BSE,Aavas Financiers,"Intimation of Investor(s)/Analyst(s) Meet/Call/Conference Scheduled to be held on May 29, June 01, June 05 & June 09, 2026.",2026-05-25,https://www.bseindia.com/xml-data/corpfiling/AttachLive/a45a46a9-518c-4359-8001-be2257aee84f.pdf,,(dropped),Dropped — Routine / Other,
3,BSE,Aavas Financiers,Intimation of Allotment of PSOPs.,2026-05-26,https://www.bseindia.com/xml-data/corpfiling/AttachLive/4651dce4-7914-4957-bcaf-2f977394e182.pdf,,Competitor Intelligence — Funding & Capital,Kept,
4,BSE,Aditya Birla Housing Finance,"Aditya Birla Capital Ltdhas informed BSE that the meeting of the Board of Directors of the Company is scheduled on 20/05/2026 ,inter alia, to consider and approve the proposal of raising of funds.",2026-05-16,https://www.bseindia.com/xml-data/corpfiling/AttachLive/89765ce2-3dd7-4b0c-b7a2-9a0f9780d7d9.pdf,,(dropped),Dropped — Routine / Other,
5,BSE,Aditya Birla Housing Finance,Aditya Birla Capital Limited informed the Exchange about the receipt of certificate of registration from RBI  to carry on the business of factoring.,2026-05-19,https://www.bseindia.com/xml-data/corpfiling/AttachLive/03259828-55d1-4f7d-8ebb-04b00d627216.pdf,,(intended) Governance,Dropped — Materiality cap,
6,BSE,Aditya Birla Housing Finance,"Outcome of Board Meeting dated May 20, 2026 approving the preferential allotment on private placement basis aggregating upto Rs. 4,000 Crore.",2026-05-20,https://www.bseindia.com/xml-data/corpfiling/AttachLive/eab5a8f1-5247-41d3-824a-adce9a975ec2.pdf,,Competitor Intelligence — Funding & Capital,Kept,
7,BSE,Aditya Birla Housing Finance,"Aditya Birla Capital Limited has informed the Exchange regarding Notice of Extraordinary General Meeting to be held on June 12, 2026",2026-05-21,https://www.bseindia.com/xml-data/corpfiling/AttachLive/7793dfd8-b385-4c3a-97ba-b8d9b0752a79.pdf,,(dropped),Dropped — Routine / Other,
8,BSE,Aditya Birla Housing Finance,Aditya Birla Capital Limited has informed the exchange regarding the Newspaper Advertisement of the Notice of the Extra Ordinary General Meeting of the Company,2026-05-22,https://www.bseindia.com/xml-data/corpfiling/AttachLive/a3ae1d54-219d-49b0-aab7-a20af36038fc.pdf,,(dropped),Dropped — Routine / Other,
9,BSE,Aditya Birla Housing Finance,Allotment of 25631 equity shares pursuant to ABCL Scheme 2017 and 730376 equity shares pursuant to ABCL Scheme 2022,2026-05-26,https://www.bseindia.com/xml-data/corpfiling/AttachLive/ebce7e33-4879-488a-b24c-84f9b7a581dd.pdf,,(dropped),Dropped — Routine / Other,
10,BSE,Aditya Birla Housing Finance,Copy of Newspaper Advertisement regarding the opening of special window for re-lodgment of transfer requests and dematerialization of physical shares,2026-05-27,https://www.bseindia.com/xml-data/corpfiling/AttachLive/4d9e871c-d0a2-4121-ab85-20669920a51c.pdf,,(dropped),Dropped — Routine / Other,
11,BSE,Aditya Birla Housing Finance,Aditya Birla Capital Limited has informed the exchange about the schedule of the meet,2026-05-29,https://www.bseindia.com/xml-data/corpfiling/AttachLive/22ea9e73-d506-420f-8b0f-6a6a97a98a07.pdf,,(dropped),Dropped — Routine / Other,
12,BSE,Aditya Birla Housing Finance,Aditya Birla Capital Limited has informed the Exchange about change in management,2026-05-31,https://www.bseindia.com/xml-data/corpfiling/AttachLive/7e952600-9496-4a46-bc8d-25375614b160.pdf,,Competitor Intelligence — Operational Signals,Kept,Ms. Darshana Shah · Resignation · 2026-05-31
13,BSE,Bajaj Finserv Home Loans,Allotment of Secured Redeemable Non-Convertible Debentures on private placement basis.,2026-05-18,https://www.bseindia.com/xml-data/corpfiling/AttachLive/3e4ea83a-b23e-43e0-9f4a-66d5662ceff1.pdf,,Competitor Intelligence — Funding & Capital,Kept,
